time (seconds),uncal_x,uncal_y,uncal_z,cal_x,cal_y,cal_z
0.005615711212158203,-0.918212890625,0.0478515625,-0.24267578125,-1.0137670585742187,0.002859393447265622,0.014874723808593754
0.011114358901977539,-0.90380859375,0.045654296875,-0.243408203125,-0.9993637123828124,0.0006631673706054622,0.014160138427734364
0.0165708065032959,-0.90234375,0.048095703125,-0.247314453125,-0.9978989653125,0.003103418566894528,0.010349016396484362
0.022246837615966797,-0.91064453125,0.0498046875,-0.24560546875,-1.0061991987109375,0.004811594404296869,0.012016382285156252
0.02777266502380371,-0.909912109375,0.046142578125,-0.23681640625,-1.0054668251757812,0.001151217609863281,0.020591406855468758
0.033483266830444336,-0.90625,0.0458984375,-0.246337890625,-1.0018049575,0.000907192490234375,0.011301796904296862
0.03907155990600586,-0.9072265625,0.044677734375,-0.23583984375,-1.002781455546875,-0.0003129331079101613,0.02154418736328126
0.04469752311706543,-0.90771484375,0.0419921875,-0.236328125,-1.0032697045703125,-0.002997209423828126,0.02106779710937501
0.050287485122680664,-0.910888671875,0.041259765625,-0.229736328125,-1.0064433232226562,-0.0037292847827148437,0.027499065537109374
0.055907487869262695,-0.9130859375,0.04345703125,-0.237060546875,-1.008640443828125,-0.0015330587060546907,0.02035321172851562
0.06161856651306152,-0.905029296875,0.03955078125,-0.23779296875,-1.0005843349414063,-0.005437460620117192,0.019638626347656257
0.06723856925964355,-0.91943359375,0.043701171875,-0.23974609375,-1.0149876811328125,-0.0012890335864257849,0.017733065332031256
0.07279109954833984,-0.9111328125,0.04150390625,-0.2421875,-1.006687447734375,-0.003485259663085938,0.015351114062500004
0.0782325267791748,-0.912109375,0.04052734375,-0.24755859375,-1.00766394578125,-0.004461360141601568,0.01011082126953125
0.08378791809082031,-0.904052734375,0.043212890625,-0.25048828125,-0.9996078368945313,-0.0017770838256835966,0.0072524797460937485
0.08900117874145508,-0.908203125,0.031494140625,-0.24609375,-1.00375795359375,-0.013490289567871093,0.011539992031250002
0.09419846534729004,-0.90185546875,0.04638671875,-0.24658203125,-0.9974107162890624,0.0013952427294921868,0.011063601777343751
0.09939241409301758,-0.907470703125,0.0458984375,-0.237548828125,-1.0030255800585937,0.000907192490234375,0.01987682147460937
0.10458922386169434,-0.90869140625,0.05126953125,-0.2470703125,-1.0042462026171874,0.006275745122070311,0.0105872115234375
0.10978555679321289,-0.91259765625,0.0478515625,-0.248291015625,-1.0081521948046874,0.002859393447265622,0.009396235888671861
0.11503958702087402,-0.907958984375,0.052978515625,-0.245361328125,-1.0035138290820314,0.007983920959472653,0.012254577412109363
0.1202392578125,-0.9140625,0.04541015625,-0.24267578125,-1.009616941875,0.00041914225097655633,0.014874723808593754
0.1254897117614746,-0.9111328125,0.048095703125,-0.250244140625,-1.006687447734375,0.003103418566894528,0.0074906748730468875
0.13069367408752441,-0.907958984375,0.044189453125,-0.24658203125,-1.0035138290820314,-0.0008009833471679731,0.011063601777343751
0.13588690757751465,-0.892822265625,0.04443359375,-0.2431640625,-0.9883781093554687,-0.0005569582275390672,0.014398333554687504
0.14107871055603027,-0.906494140625,0.048095703125,-0.255615234375,-1.0020490820117187,0.003103418566894528,0.002250382080078134
0.1462843418121338,-0.90625,0.046142578125,-0.24462890625,-1.0018049575,0.001151217609863281,0.012969162792968753
0.15147972106933594,-0.9091796875,0.04443359375,-0.248779296875,-1.004734451640625,-0.0005569582275390672,0.00891984563476561
0.15667295455932617,-0.90966796875,0.047607421875,-0.24755859375,-1.0052227006640626,0.0026153683276367162,0.01011082126953125
0.16186165809631348,-0.89111328125,0.058837890625,-0.24609375,-0.9866692377734374,0.0138405238305664,0.011539992031250002
0.16707181930541992,-0.91064453125,0.04150390625,-0.246337890625,-1.0061991987109375,-0.003485259663085938,0.011301796904296862
0.1722700595855713,-0.910400390625,0.04296875,-0.245849609375,-1.0059550741992187,-0.0020211089453125025,0.011778187158203113
0.17746353149414062,-0.908203125,0.042724609375,-0.24560546875,-1.00375795359375,-0.0022651340649414084,0.012016382285156252
0.18271684646606445,-0.890869140625,0.058837890625,-0.2431640625,-0.9864251132617187,0.0138405238305664,0.014398333554687504
0.18823456764221191,-0.90478515625,0.0419921875,-0.239013671875,-1.0003402104296875,-0.002997209423828126,0.018447650712890618
0.19362640380859375,-0.90771484375,0.03515625,-0.249267578125,-1.0032697045703125,-0.009829912773437505,0.00844345538085936
0.19897866249084473,-0.9091796875,0.035888671875,-0.24072265625,-1.004734451640625,-0.009097837414550787,0.016780284824218755
0.20432114601135254,-0.905029296875,0.03515625,-0.23876953125,-1.0005843349414063,-0.009829912773437505,0.018685845839843757
0.2098548412322998,-0.89501953125,0.0595703125,-0.23193359375,-0.9905752299609375,0.014572599189453118,0.02535530939453126
0.21537375450134277,-0.917724609375,0.064697265625,-0.222900390625,-1.0132788095507812,0.01969712670166015,0.03416852909179688
0.22073078155517578,-0.90771484375,0.06103515625,-0.22119140625,-1.0032697045703125,0.01603674990722656,0.03583589498046874
0.2261333465576172,-0.908935546875,0.0322265625,-0.218505859375,-1.0044903271289063,-0.012758214208984375,0.03845604137695313
0.2314894199371338,-0.908203125,0.04541015625,-0.227294921875,-1.00375795359375,0.00041914225097655633,0.029881016806640626
0.23683595657348633,-0.908935546875,0.054443359375,-0.230712890625,-1.0044903271289063,0.009448071677246088,0.026546285029296873
0.24218511581420898,-0.90625,0.040283203125,-0.225830078125,-1.0018049575,-0.004705385261230474,0.03131018756835938
0.24773812294006348,-0.9013671875,0.03662109375,-0.23291015625,-0.996922467265625,-0.008365762055664062,0.02440252888671876
